"Review by Customers","Review by Customers"
"Review by Products","Review by Products"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Add New Images"
"Sorry, you haven't got the permission to write a review.","Sorry, you haven't got the permission to write a review."
"I agree with the %1.","I agree with the %1."
"Terms and Conditions","Terms and Conditions"
"The review has been approved.","The review has been approved."
"Something went wrong approving this review.","Something went wrong approving this review."
"Make sure your file isn't more than %1M.","Make sure your file isn't more than %1M."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"Product does not exist.","Product does not exist."
"Review does not exist.","Review does not exist."
"No review to updated.","No review to updated."
"The review has id is %1 has been updated","The review has id is %1 has been updated"
"No element found matching the given condition.","No element found matching the given condition."
Verified,Verified
"Not Verified","Not Verified"
Yes,Yes
No,No
"For purchasers only","For purchasers only"
Approved,Approved
Pending,Pending
Both,Both
Ascending,Ascending
Descending,Descending
Newest,Newest
"High Rating","High Rating"
Helpfulness,Helpfulness
"Recommendation Display","Recommendation Display"
"Verified Buyer","Verified Buyer"
"Admin Reply","Admin Reply"
"Admin User","Admin User"
"Write a Reply","Write a Reply"
Nickname,Nickname
Comment,Comment
"Approve and Next","Approve and Next"
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Can not add structured data","Can not add structured data"
Customer,Customer
Reviews,Reviews
"We couldn't find any records.","We couldn't find any records."
Product,Product
Average,Average
"Average (Approved)","Average (Approved)"
"Last Review","Last Review"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Alt Text","Alt Text"
"Image Size","Image Size"
"Image Resolution","Image Resolution"
"Review your purchased products","Review your purchased products"
"Write a review","Write a review"
"You have no product review reminder.","You have no product review reminder."
"Write Your Own Review","Write Your Own Review"
"* Required Fields","* Required Fields"
"You're reviewing:","You're reviewing:"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
Summary,Summary
Review,Review
"Submit Review","Submit Review"
Loading...,Loading...
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Attach image(s)","Attach image(s)"
"*You can add up to %1 image","*You can add up to %1 image"
"*You can add up to %1 images","*You can add up to %1 images"
"Upload your photo (.gif,.jpg,.png).","Upload your photo (.gif,.jpg,.png)."
"Browse Files...","Browse Files..."
"I recommend this product","I recommend this product"
"View Reviews By","View Reviews By"
By,By
"Verified Buyer Mark","Verified Buyer Mark"
"Verified Purchase","Verified Purchase"
"Review_%1 Image_%2 ","Review_%1 Image_%2 "
"visitor%1 found this helpful","visitor%1 found this helpful"
Helpful,Helpful
"Reply by","Reply by"
"%1 - Store Owner","%1 - Store Owner"
"Load more","Load more"
"Customer Reviews","Customer Reviews"
"%1 review","%1 review"
"%1 reviews","%1 reviews"
"Be the first to review this product","Be the first to review this product"
"of customers recommend this product","of customers recommend this product"
" Stars"," Stars"
" Star"," Star"
"You have rated this review already.","You have rated this review already."
"visitors found this helpful","visitors found this helpful"
"visitor found this helpful","visitor found this helpful"
"Thanks for your feedback","Thanks for your feedback"
"You can only upload limit of ","You can only upload limit of "
"Better Product Reviews","Better Product Reviews"
"General Configuration","General Configuration"
Enable,Enable
"Select <b>Yes</b> to enable this module.","Select <b>Yes</b> to enable this module."
"Remind Review on Customer Dashboard","Remind Review on Customer Dashboard"
"Select <b>Yes</b> to show purchased products without review in My Product Reviews (in My Account).","Select <b>Yes</b> to show purchased products without review in My Product Reviews (in My Account)."
"Enable Review Summary","Enable Review Summary"
"Select <b>Yes</b> to show Review Summary block on Product Detail Page.","Select <b>Yes</b> to show Review Summary block on Product Detail Page."
"Report Review Status","Report Review Status"
"Write Review Configuration","Write Review Configuration"
"Customer Group(s)","Customer Group(s)"
"Notice Message","Notice Message"
"The notice for customers who are not allowed to write reviews.","The notice for customers who are not allowed to write reviews."
"Use AJAX","Use AJAX"
"Allow recommending products","Allow recommending products"
"Allow Upload Images","Allow Upload Images"
"Image Upload Qty Limit","Image Upload Qty Limit"
"If empty or zero, no limitation.","If empty or zero, no limitation."
"Link Title","Link Title"
"Anchor Text","Anchor Text"
"Anchor URL","Anchor URL"
"Checked by default","Checked by default"
"Review Listing Configuration","Review Listing Configuration"
"Enable Helpful Voting","Enable Helpful Voting"
"Show store's reply","Show store's reply"
"Enable Social Share","Enable Social Share"
"Show Verified Buyer Mark","Show Verified Buyer Mark"
"Show Nickname","Show Nickname"
"Show Review Date","Show Review Date"
"Default Item Qty per Page","Default Item Qty per Page"
"If the number of reviews is greater than the default qty, Load more button will appear.","If the number of reviews is greater than the default qty, Load more button will appear."
Sorting,Sorting
"If <b>Yes</b>, Sorting section will appear to help customers filter reviews.","If <b>Yes</b>, Sorting section will appear to help customers filter reviews."
"Sort Type(s)","Sort Type(s)"
"Default Sorting","Default Sorting"
"Default Sort Direction","Default Sort Direction"
